 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue
#id=1
#text=Den nu 34-årige multikunstner debuterede ved DM i stand-up i 1993, hvor han fik en 2.-plads.
1-1	Den	den	PP:s-uc:--:-3n-	
1-2	nu	_	_	
1-3	34	_	_	
1-4	-	_	_	
1-5	årige	_	_	
1-6	multikunstner	_	_	
1-7	debuterede	_	_	
1-8	ved	_	_	
1-9	DM	_	_	
1-10	i	_	_	
1-11	stand	_	_	
1-12	-	_	_	
1-13	up	_	_	
1-14	i	_	_	
1-15	1993	_	_	
1-16	,	_	_	
1-17	hvor	_	_	
1-18	han	_	_	
1-19	fik	_	_	
1-20	en	_	_	
1-21	2	_	_	
1-22	.	_	_	
1-23	-	_	_	
1-24	plads	_	_	
1-25	.	_	_	

#id=2
#text=- Selvfølgelig skal det hænge sammen med baglandet, at jeg er væk i weekenderne, men min mand er bidt af en gal fisker, så vi giver plads til hver vores.
2-1	-	_	_	
2-2	Selvfølgelig	_	_	
2-3	skal	_	_	
2-4	det	_	_	
2-5	hænge	_	_	
2-6	sammen	_	_	
2-7	med	_	_	
2-8	baglandet	_	_	
2-9	,	_	_	
2-10	at	_	_	
2-11	jeg	_	_	
2-12	er	_	_	
2-13	væk	_	_	
2-14	i	_	_	
2-15	weekenderne	_	_	
2-16	,	_	_	
2-17	men	_	_	
2-18	min	_	_	
2-19	mand	_	_	
2-20	er	_	_	
2-21	bidt	_	_	
2-22	af	_	_	
2-23	en	_	_	
2-24	gal	_	_	
2-25	fisker	_	_	
2-26	,	_	_	
2-27	så	_	_	
2-28	vi	_	_	
2-29	giver	_	_	
2-30	plads	_	_	
2-31	til	_	_	
2-32	hver	_	_	
2-33	vores	_	_	
2-34	.	_	_	

#id=3
#text= Alle voksenting var på plads, men en dag fik jeg virkelig lyst til, at der skulle ske noget nyt, erkender Maria.
3-1	Alle	_	_	
3-2	voksenting	_	_	
3-3	var	_	_	
3-4	på	_	_	
3-5	plads	_	_	
3-6	,	_	_	
3-7	men	_	_	
3-8	en	_	_	
3-9	dag	_	_	
3-10	fik	_	_	
3-11	jeg	_	_	
3-12	virkelig	_	_	
3-13	lyst	_	_	
3-14	til	_	_	
3-15	,	_	_	
3-16	at	_	_	
3-17	der	_	_	
3-18	skulle	_	_	
3-19	ske	_	_	
3-20	noget	_	_	
3-21	nyt	_	_	
3-22	,	_	_	
3-23	erkender	_	_	
3-24	Maria	_	_	
3-25	.	_	_	

#id=4
#text=Allerede torsdag tog Rigmor  så hul på det, der skal bane hendes vej tilbage til en plads i solen med lejlighed tæt på de danske jetsettere.
4-1	Allerede	_	_	
4-2	torsdag	_	_	
4-3	tog	_	_	
4-4	Rigmor	_	_	
4-5	så	_	_	
4-6	hul	_	_	
4-7	på	_	_	
4-8	det	_	_	
4-9	,	_	_	
4-10	der	_	_	
4-11	skal	_	_	
4-12	bane	_	_	
4-13	hendes	_	_	
4-14	vej	_	_	
4-15	tilbage	_	_	
4-16	til	_	_	
4-17	en	_	_	
4-18	plads	_	_	
4-19	i	_	_	
4-20	solen	_	_	
4-21	med	_	_	
4-22	lejlighed	_	_	
4-23	tæt	_	_	
4-24	på	_	_	
4-25	de	_	_	
4-26	danske	_	_	
4-27	jetsettere	_	_	
4-28	.	_	_	

#id=5
#text= For så er der plads til Jim Lyngvilds mange ting, som han har samlet igennem årene.
5-1	For	_	_	
5-2	så	_	_	
5-3	er	_	_	
5-4	der	_	_	
5-5	plads	_	_	
5-6	til	_	_	
5-7	Jim	_	_	
5-8	Lyngvilds	_	_	
5-9	mange	_	_	
5-10	ting	_	_	
5-11	,	_	_	
5-12	som	_	_	
5-13	han	_	_	
5-14	har	_	_	
5-15	samlet	_	_	
5-16	igennem	_	_	
5-17	årene	_	_	
5-18	.	_	_	

#id=6
#text=For at gøre plads til hele flokken har forældrene flyttet deres soveværelse ud i en campingvogn.
6-1	For	_	_	
6-2	at	_	_	
6-3	gøre	_	_	
6-4	plads	_	_	
6-5	til	_	_	
6-6	hele	_	_	
6-7	flokken	_	_	
6-8	har	_	_	
6-9	forældrene	_	_	
6-10	flyttet	_	_	
6-11	deres	_	_	
6-12	soveværelse	_	_	
6-13	ud	_	_	
6-14	i	_	_	
6-15	en	_	_	
6-16	campingvogn	_	_	
6-17	.	_	_	

#id=7
#text=De har sammen med hustruen Rebecca Rigg en helt speciel plads i Simon Bakers hjerte.
7-1	De	_	_	
7-2	har	_	_	
7-3	sammen	_	_	
7-4	med	_	_	
7-5	hustruen	_	_	
7-6	Rebecca	_	_	
