 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue
#id=1
#text= Alle glider i tis, falder om, slår hovedet, der går ild i det, der kan gå ild i, hvilket man allerede ved, når man første gang kaster et blik på det nymalede flotte portræt af svigerfar.
1-1	Alle	al	PI:p-u#:--:----	
1-2	glider	glide	VF:----:sa:----	
1-3	i	i	T-:----:--:----	
1-4	tis	tis	NC:siun:--:----	
1-5	,	,	ZD	
1-6	falder	falde	VF:----:sa:----	
1-7	om	om	T-:----:--:----	
1-8	,	,	ZD	
1-9	slår	slå	VF:----:sa:----	
1-10	hovedet	hoved	NC:sdun:--:----	
1-11	,	,	ZD	
1-12	der	der	US:----:--:----	
1-13	går	gå	VF:----:sa:----	
1-14	ild	ild	NC:siuc:--:----	
1-15	i	i	T-:----:--:----	
1-16	det	det	PP:s-un:--:-3n-	
1-17	,	,	ZD	
1-18	der	der	US:----:--:----	
1-19	kan	kunne	VF:----:sa:----	
1-20	gå	gå	VI:----:-a:----	
1-21	ild	ild	NC:siuc:--:----	
1-22	i	i	T-:----:--:----	
1-23	,	,	ZD	
1-24	hvilket	hvilken	PR:s-un:--:----	
1-25	man	man	PI:#-uc:--:----	
1-26	allerede	allerede	D-:----:--:u---	
1-27	ved	ved	T-:----:--:----	
1-28	,	,	ZD	
1-29	når	når	CS:----:--:----	
1-30	man	man	PI:#-uc:--:----	
1-31	første	første	AD:----:--:p---	
1-32	gang	gang	NC:siuc:--:----	
1-33	kaster	kaste	VF:----:sa:----	
1-34	et	en	PI:s-un:--:----	
1-35	blik	blik|blik-1-2|blik-1-1|blik-F-få-blikket|blik-F-finde-nåde-for-nogens-blik|blik-2-1-1a|blik-1-4a|blik-1-4|blik-1-3|blik-F-indre-blik	NC:siun:--:----	
1-36	på	på	T-:----:--:----	
1-37	det	den	PM:s-un:--:----	
1-38	nymalede	nymalet	AC:sdu#:--:p---	
1-39	flotte	flot	AC:sdu#:--:p---	
1-40	portræt	portræt	NC:siun:--:----	
1-41	af	af	T-:----:--:----	
1-42	svigerfar	svigerfar	NC:siuc:--:----	
1-43	.	.	ZP	

#id=2
#text= Enkelte tilhørere kigger undrende ned på de to tolke, som med stift blik og galoperende mundbevægelser forsøger at holde trit med Torben M.
2-1	Enkelte	enkelt	AC:p#u#:--:p---	
2-2	tilhørere	tilhører	NC:piu#:--:----	
2-3	kigger	kigge	:sa:----	
2-4	undrende	undre	VP:##u#:s-:----	
2-5	ned	ned	D-:----:--:u---	
2-6	på	på	T-:----:--:----	
2-7	de	den	PM:p-u#:--:----	
2-8	to	to	LC:--u-:--:----	
2-9	tolke	tolk	NC:piu#:--:----	
2-10	,	,	ZD	
2-11	som	som	US:----:--:----	
2-12	med	med	T-:----:--:----	
2-13	stift	stiv	AC:siun:--:p---	
2-14	blik	blik|blik-1-3|blik-1-2|blik-1-1|blik-F-indre-blik|blik-F-få-blikket|blik-F-finde-nåde-for-nogens-blik|blik-2-1-1a|blik-1-4a|blik-1-4	NC:siun:--:----	
2-15	og	og	CC:----:--:----	
2-16	galoperende	galopere	VP:##u#:s-:----	
2-17	mundbevægelser	mundbevægelse	NC:piu#:--:----	
2-18	forsøger	forsøge	VF:----:sa:----	
2-19	at	at	UI:----:--:----	
2-20	holde	holde	VI:----:-a:----	
2-21	trit	trit	NC:siun:--:----	
2-22	med	med	T-:----:--:----	
2-23	Torben	Torben	NP:siu#:--:----	
2-24	M	M	NP:siu#:--:----	
2-25	.	.	ZP	

#id=3
#text="De hidtidige forslag har mest drejet sig om at skære i dagpengene for at få arbejdsløse i gang med at søge job eller begrænse adgangen til at gå på efterløn, men det vil være en god idé at have blik for arbejdsmiljø", siger Lars Andersen.
3-1	"	"	ZI	
3-2	De	den	--:----	
3-3	hidtidige	hidtidig	AC:p#u#:--:p---	
3-4	forslag	forslag	NC:piu#:--:----	
3-5	har	have	VF:----:sa:----	
3-6	mest	megen	AD:----:--:s---	
3-7	drejet	dreje	VT:siu#:t-:----	
3-8	sig	sig	PP:#-u#:--:-3y-	
3-9	om	om	T-:----:--:----	
3-10	at	at	UI:----:--:----	
3-11	skære	skære	VI:----:-a:----	
3-12	i	i	T-:----:--:----	
3-13	dagpengene	dagpenge	NC:pdu#:--:----	
3-14	for	for	T-:----:--:----	
3-15	at	at	UI:----:--:----	
3-16	få	få	VI:----:-a:----	
3-17	arbejdsløse	arbejdsløs	AC:p#u#:--:p---	
3-18	i	i	T-:----:--:----	
3-19	gang	gang	NC:siuc:--:----	
3-20	med	med	T-:----:--:----	
3-21	at	at	UI:----:--:----	
3-22	søge	søge	VI:----:-a:----	
3-23	job	job	NC:piu#:--:----	
3-24	eller	eller	CC:----:--:----	
3-25	begrænse	begrænse	VI:----:-a:----	
3-26	adgangen	adgang	NC:sduc:--:----	
3-27	til	til	T-:----:--:----	
3-28	at	at	UI:----:--:----	
3-29	gå	gå	VI:----:-a:----	
3-30	på	på	T-:----:--:----	
3-31	efterløn	efterløn	NC:siuc:--:----	
3-32	,	,	ZD	
3-33	men	men	CC:----:--:----	
3-34	det	det	PP:s-un:--:-3n-	
3-35	vil	ville	VF:----:sa:----	
3-36	være	være	VI:----:-a:----	
3-37	en	en	PI:s-uc:--:----	
3-38	god	god	AC:siuc:--:p---	
3-39	idé	idé	NC:siuc:--:----	
3-40	at	at	UI:----:--:----	
3-41	have	have	VI:----:-a:----	
3-42	blik	blik|blik-1-1|blik-F-indre-blik|blik-F-få-blikket|blik-F-finde-nåde-for-nogens-blik|blik-2-1-1a|blik-1-4a|blik-1-4|blik-1-3|blik-1-2	NC:siun:--:----	
3-43	for	for	T-:----:--:----	
3-44	arbejdsmiljø	arbejdsmiljø	NC:siun:--:----	
3-45	"	"	ZI	
3-46	,	,	ZD	
3-47	siger	sige	VF:----:sa:----	
3-48	Lars	Lars	NP:siu#:--:----	
3-49	Andersen	Andersen	NP:siu#:--:----	
3-50	.	.	ZP	

#id=4
#text=Anlægget omgiver sig med en etagehøj marmormur, og med dets bronzetonede spejlfacader kan det nemt opleves som en fæstning, hvis eneste formål er at holde nysgerrige blikke ude.
4-1	Anlægget	anlæg	NC:sdun:--:----	
4-2	omgiver	omgive	VF:----:sa:----	
4-3	sig	sig	PP:#-u#:--:-3y-	
4-4	med	med	T-:----:--:----	
4-5	en	en	PI:s-uc:--:----	
4-6	etagehøj	etagehøj	AC:siuc:--:p---	
4-7	marmormur	marmormur	NC:siuc:--:----	
4-8	,	,	ZD	
4-9	og	og	CC:----:--:----	
4-10	med	med	T-:----:--:----	
4-11	dets	dets	PO:#--#:--:-3ns	
4-12	bronzetonede	bronzetonet	AC:p#u#:--:p---	
4-13	spejlfacader	spejlfacade	NC:piu#:--:----	
4-14	kan	kunne	VF:----:sa:----	
4-15	det	det	PP:s-un:--:-3n-	
4-16	nemt	nem	AD:----:--:p---	
4-17	opleves	opleve	VI:----:-p:----	
4-18	som	som	US:----:--:----	
4-19	en	en	PI:s-uc:--:----	
4-20	fæstning	fæstning	NC:siuc:--:----	
4-21	,	,	ZD	
4-22	hvis	hvem	PR:#-g#:--:----	
4-23	eneste	eneste	AC:§§u§:--:p---	
4-24	formål	formål	NC:siun:--:----	
4-25	er	være	VF:----:sa:----	
4-26	at	at	UI:----:--:----	
4-27	holde	holde	VI:----:-a:----	
4-28	nysgerrige	nysgerrig	AC:p#u#:--:p---	
4-29	blikke	blik|blik-F-indre-blik|blik-F-få-blikket|blik-F-finde-nåde-for-nogens-blik|blik-2-1-1a|blik-1-4a|blik-1-4|blik-1-3|blik-1-2|blik-1-1	NC:piu#:--:----	
4-30	ude	ude	D-:----:--:u---	
4-31	.	.	ZP	

#id=5
#text=For samtidig med at Charlotte Dyremose siger, at man kan få mad for mellem 12 og 18 kroner, afslører et kort blik på pressen de seneste uger, at kommunerne har mere end svært ved at få enderne til at mødes.
5-1	For	for	CC:----:--:----	
5-2	samtidig	samtidig	D-:----:--:u---	
5-3	med	med	T-:----:--:----	
5-4	at	at	CS:----:--:----	
5-5	Charlotte	Charlotte	NP:siu#:--:----	
5-6	Dyremose	Dyremose	NP:siu#:--:----	
5-7	siger	sige	VF:----:sa:----	
5-8	,	,	ZD	
5-9	at	at	CS:----:--:----	
5-10	man	man	PI:#-uc:--:----	
5-11	kan	kunne	VF:----:sa:----	
5-12	få	få	VI:----:-a:----	
5-13	mad	mad	NC:siuc:--:----	
5-14	for	for	T-:----:--:----	
5-15	mellem	mellem	T-:----:--:----	
5-16	12	12	LC:--u-:--:----	
5-17	og	og	CC:----:--:----	
5-18	18	18	LC:--u-:--:----	
5-19	kroner	krone	NC:piu#:--:----	
5-20	,	,	ZD	
5-21	afslører	afsløre	VF:----:sa:----	
5-22	et	en	PI:s-un:--:----	
5-23	kort	kort	AC:siu§:--:p---	
5-24	blik	blik|blik-1-2|blik-1-1|blik-F-finde-nåde-for-nogens-blik|blik-F-indre-blik|blik-F-få-blikket|blik-2-1-1a|blik-1-4a|blik-1-4|blik-1-3	NC:siun:--:----	
5-25	på	på	T-:----:--:----	
5-26	pressen	presse	NC:sduc:--:----	
5-27	de	den	PM:p-u#:--:----	
5-28	seneste	sen	AC:§du§:--:s---	
5-29	uger	uge	NC:piu#:--:----	
5-30	,	,	ZD	
5-31	at	at	CS:----:--:----	
5-32	kommunerne	kommune	NC:pdu#:--:----	
5-33	har	have	VF:----:sa:----	
5-34	mere	megen	AC:##u#:--:c---	
5-35	end	end	CS:----:--:----	
5-36	svært	svær	AD:----:--:p---	
5-37	ved	ved	T-:----:--:----	
5-38	at	at	UI:----:--:----	
5-39	få	få	VI:----:-a:----	
5-40	enderne	ende	NC:pdu#:--:----	
5-41	til	til	T-:----:--:----	
5-42	at	at	UI:----:--:----	
5-43	mødes	møde	VI:----:-p:----	
5-44	.	.	ZP	

#id=6
#text= "Byen er som en velklædt kvinde, der bliver afsløret af sit vilde blik".
6-1	"	"	ZI	
6-2	Byen	by	NC:sduc:--:----	
6-3	er	være	VF:----:sa:----	
6-4	som	som	US:----:--:----	
6-5	en	en	PI:s-uc:--:----	
6-6	velklædt	velklædt	AC:siu§:--:p---	
6-7	kvinde	kvinde	NC:siuc:--:----	
6-8	,	,	ZD	
6-9	der	der	US:----:--:----	
6-10	bliver	blive	VF:----:sa:----	
6-11	afsløret	afsløre	VT:siu#:t-:----	
6-12	af	af	T-:----:--:----	
6-13	sit	sin	PO:s--n:--:-3ys	
6-14	vilde	vild	AC:sdu#:--:p---	
6-15	blik	blik|blik-1-3|blik-1-2|blik-1-1|blik-2-1-1a|blik-F-indre-blik|blik-F-få-blikket|blik-F-finde-nåde-for-nogens-blik|blik-1-4a|blik-1-4	NC:siun:--:----	
6-16	"	"	ZI	
6-17	.	.	ZP	

#id=7
#text= Erik Svendsen, Jyllands-Posten "Og novellerne har vitterligt et godt øre og blik for de familiære kvababbelser, man kunne fx nævne de to spejlvendte noveller, "Voksne mennesker kan godt tale om sex", hvor fortælleren er tvangsindlagt til at høre på sin mors søforklaringer om hendes klare svigt, og "Returbillet", hvor en mor ærligt selvransagende fortæller (os) om sit klare svigt.
7-1	Erik	Erik	NP:siu#:--:----	
7-2	Svendsen	Svendsen	NP:siu#:--:----	
7-3	,	,	ZD	
7-4	Jyllands	Jylland	NW:----:--:----	
7-5	-	-	ZH	
7-6	Posten	post	NC:sduc:--:----	
7-7	"	"	ZI	
7-8	Og	og	CC:----:--:----	
7-9	novellerne	novelle	NC:pdu#:--:----	
7-10	har	have	VF:----:sa:----	
7-11	vitterligt	vitterlig	AD:----:--:p---	
7-12	et	en	PI:s-un:--:----	
7-13	godt	god	AC:siun:--:p---	
7-14	øre	øre	NC:siun:--:----	
7-15	og	og	CC:----:--:----	
7-16	blik	blik|blik-2-1-1a|blik-1-2|blik-1-1|blik-1-4a|blik-1-4|blik-1-3|blik-F-indre-blik|blik-F-få-blikket|blik-F-finde-nåde-for-nogens-blik	NC:siun:--:----	
7-17	for	for	T-:----:--:----	
7-18	de	den	PM:p-u#:--:----	
7-19	familiære	familiær	AC:p#u#:--:p---	
7-20	kvababbelser	kvababbelse	NC:piu#:--:----	
7-21	,	,	ZD	
7-22	man	man	PI:#-uc:--:----	
7-23	kunne	kunne	VF:----:ta:----	
7-24	fx	fx	D-:----:--:u---	
7-25	nævne	nævne	VI:----:-a:----	
7-26	de	den	PM:p-u#:--:----	
7-27	to	to	LC:--u-:--:----	
7-28	spejlvendte	spejlvende	VP:p#u#:t-:----	
7-29	noveller	novelle	NC:piu#:--:----	
7-30	,	,	ZD	
7-31	"	"	ZI	
7-32	Voksne	voksen	AC:p#u#:--:p---	
7-33	mennesker	menneske	NC:piu#:--:----	
7-34	kan	kunne	VF:----:sa:----	
7-35	godt	god	AD:----:--:p---	
7-36	tale	tale	VI:----:-a:----	
7-37	om	om	T-:----:--:----	
7-38	sex	sex	NC:siuc:--:----	
7-39	"	"	ZI	
7-40	,	,	ZD	
7-41	hvor	hvor	D-:----:--:u---	
7-42	fortælleren	fortæller	NC:sduc:--:----	
7-43	er	være	VF:----:sa:----	
7-44	tvangsindlagt	tvangsindlægge	VT:siu#:t-:----	
7-45	til	til	T-:----:--:----	
7-46	at	at	UI:----:--:----	
7-47	høre	høre	VI:----:-a:----	
7-48	på	på	T-:----:--:----	
7-49	sin	sin	PO:s--c:--:-3ys	
7-50	mors	mor	NC:sigc:--:----	
7-51	søforklaringer	søforklaring	NC:piu#:--:----	
7-52	om	om	T-:----:--:----	
7-53	hendes	hendes	PO:#--#:--:-3ns	
7-54	klare	klar	AC:sdu#:--:p---	
7-55	svigt	svigt	NC:siun:--:----	
7-56	,	,	ZD	
7-57	og	og	CC:----:--:----	
7-58	"	"	ZI	
7-59	Returbillet	returbillet	NC:siuc:--:----	
7-60	"	"	ZI	
7-61	,	,	ZD	
7-62	hvor	hvor	D-:----:--:u---	
7-63	en	en	PI:s-uc:--:----	
7-64	mor	mor	NC:siuc:--:----	
7-65	ærligt	ærlig	AD:----:--:p---	
7-66	selvransagende	selvransagende	AD:----:--:p---	
7-67	fortæller	fortælle	VF:----:sa:----	
7-68	(	(	ZD	
7-69	os	os	XY:----:--:----	
7-70	)	)	ZD	
7-71	om	om	T-:----:--:----	
7-72	sit	sin	PO:s--n:--:-3ys	
7-73	klare	klar	AC:sdu#:--:p---	
7-74	svigt	svigt	NC:siun:--:----	
7-75	.	.	ZP	

#id=8
#text= Trude Marsteins metode - at lade over hundrede jeg-fortællere skiftes til at tage ordet - er ikke blot kompositorisk fascinerende, den imponerer ydermere, eftersom det lykkes Marstein at få (næsten) hver og en af personerne til at materialisere sig som tænkende mennesker med et projekt, en refleksion eller en drift, som man involverer sig voldsomt i hen over de 4-5 sider, bekendtskabet varer; indtil forfatteren slipper dette ene lille liv for at tvinge vores blik mod det næste.
8-1	Trude	Trude	NP:siu#:--:----	
8-2	Marsteins	Marsteins	NP:sig#:--:----	
8-3	metode	metode	NW:----:--:----	
8-4	-	-	ZH	
8-5	at	at	CS:----:--:----	
8-6	lade	lade	NC:siuc:--:----	
8-7	over	over	T-:----:--:----	
8-8	hundrede	hundrede	NC:siun:--:----	
8-9	jeg	jeg	NC:siun:--:----	
8-10	-	-	NC:piu#:--:----	
8-11	fortællere	fortæller	NC:piu#:--:----	
8-12	skiftes	skifte	VF:----:sp:----	
8-13	til	til	T-:----:--:----	
8-14	at	at	UI:----:--:----	
8-15	tage	tage	VI:----:-a:----	
8-16	ordet	ord	NC:sdun:--:----	
8-17	-	-	NC:piu#:--:----	
8-18	er	være	VF:----:sa:----	
