 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue
#id=1
#text=Det er muligt du ikke bliver top professionel, men det er vel heller ikke det vi snakker om.
1-1	Det	det	PP:s-un:--:-3n-	
1-2	er	være	VF:----:sa:----	
1-3	muligt	mulig	AC:siun:--:p---	
1-4	du	du	PP:s-nc:--:-2n-	
1-5	ikke	ikke	D-:----:--:u---	
1-6	bliver	blive	VF:----:sa:----	
1-7	top	top|top-1|top-F-på-toppen-af|top-F-fra-top-til-tå|top-F-der-er-koldt-på-toppen|top-4|top-3|top-2a-2b|top-2|top-1a-1b|top-F-tånd/grå-i-toppen|top-F-toppen-af/på-kransekagen|top-F-toppen-af-isbjerget|top-F-til-tops	NC:siuc:--:----	
1-8	professionel	professionel	AC:siuc:--:p---	
1-9	,	,	ZD	
1-10	men	men	CC:----:--:----	
1-11	det	det	PP:s-un:--:-3n-	
1-12	er	være	VF:----:sa:----	
1-13	vel	vel	D-:----:--:u---	
1-14	heller	heller	D-:----:--:u---	
1-15	ikke	ikke	D-:----:--:u---	
1-16	det	det	PP:s-un:--:-3n-	
1-17	vi	vi	PP:p-nc:--:-1n-	
1-18	snakker	snakke	VF:----:sa:----	
1-19	om	om	T-:----:--:----	
1-20	.	.	ZP	

#id=2
#text=Ja, så kom Subnet-tiden, derefter Geocities efter jeg havde set siden www.geocities.com/danskeduller, som bare var TOPPEN! (Det tror jeg alle piger kan snakke med om, riiight?
2-1	Ja	ja	I-:----:--:----	
2-2	,	,	ZD	
2-3	så	så	D-:----:--:u---	
2-4	kom	komme	VF:----:ta:----	
2-5	Subnet	Subnet	NP:siu#:--:----	
2-6	-	-	ZH	
2-7	tiden	tid	NC:sduc:--:----	
2-8	,	,	ZD	
2-9	derefter	derefter	D-:----:--:u---	
2-10	Geocities	Geocities	NP:siu#:--:----	
2-11	efter	efter	CS:----:--:----	
2-12	jeg	jeg	PP:s-nc:--:-1n-	
2-13	havde	have	:----:ta:----	
